wiekMin;wiekMax;plec;Amin;Amax;B6min;B6max;Cmin;Cmax;Emin;Emax;Dmin;Dmax;Kmin;B1min;B2min;B12min;PPmin;PPmax
1;3;K;0.3;0.6;0.5;30;15;400;6;200;0.015;0.063;0.03;0.5;0.5;0.0009;6;10
1;3;M;0.3;0.6;0.5;30;15;400;6;200;0.015;0.063;0.03;0.5;0.5;0.0009;6;10
4;8;K;0.4;0.9;0.6;40;25;650;7;300;0.015;0.075;0.055;0.6;0.6;0.0012;8;15
4;8;M;0.4;0.9;0.6;40;25;650;7;300;0.015;0.075;0.055;0.6;0.6;0.0012;8;15
9;13;K;0.6;1.7;1;60;45;1200;11;600;0.015;0.1;0.06;0.9;0.9;0.0018;12;20
9;13;M;0.6;1.7;1;60;45;1200;11;600;0.015;0.1;0.06;0.9;0.9;0.0018;16;20
14;18;K;0.7;2.8;1.2;80;65;1800;15;800;0.015;0.1;0.075;1;1;0.0024;14;30
14;18;M;0.9;2.8;1.3;80;75;1800;15;800;0.015;0.1;0.075;1.2;1.3;0.0024;16;30
19;30;K;0.7;3;1.3;100;75;2000;15;1000;0.015;0.1;0.09;1.1;1.1;0.0024;14;35
19;30;M;0.9;3;1.3;100;90;2000;15;1000;0.015;0.1;0.12;1.2;1.3;0.0024;16;35
31;50;K;0.7;3;1.3;100;75;2000;15;1000;0.015;0.1;0.09;1.1;1.1;0.0024;14;35
31;50;M;0.9;3;1.3;100;90;2000;15;1000;0.015;0.1;0.12;1.2;1.3;0.0024;16;35
51;70;K;0.7;3;1.5;100;75;2000;15;1000;0.015;0.1;0.09;1.1;1.1;0.0024;14;35
51;70;M;0.9;3;1.7;100;90;2000;15;1000;0.015;0.1;0.12;1.2;1.3;0.0024;16;35
71;125;K;0.7;3;1.3;100;75;2000;15;1000;0.02;0.1;0.09;1.1;1.1;0.0024;14;35
71;125;M;0.9;3;1.7;100;90;2000;15;1000;0.02;0.1;0.12;1.2;1.3;0.0024;16;35
